algorithm,Mass,Friction,steps,reward,model
PPO,1.4380753138075317,0.4,1000,1787.3146894255196,Models/HalfCitah_models/Ideal_models/HalfCheetah
PPO,1.4380753138075317,0.4,1000,2051.0032802775804,Models/HalfCitah_models/Ideal_models/HalfCheetah
PPO,1.4380753138075317,0.4,1000,1003.7666684385531,Models/HalfCitah_models/Ideal_models/HalfCheetah
PPO,1.4380753138075317,0.4,1000,1058.5979258660777,Models/HalfCitah_models/Ideal_models/HalfCheetah
PPO,1.4380753138075317,0.4,1000,1109.00693389338,Models/HalfCitah_models/Ideal_models/HalfCheetah
PPO,1.4380753138075317,0.4,1000,902.9967468714499,Models/HalfCitah_models/Ideal_models/HalfCheetah
PPO,1.4380753138075317,0.4,1000,3653.805974239158,Models/HalfCitah_models/Ideal_models/HalfCheetah
PPO,1.4380753138075317,0.4,1000,1578.2067085417102,Models/HalfCitah_models/Ideal_models/HalfCheetah
PPO,1.4380753138075317,0.4,1000,3741.226221528773,Models/HalfCitah_models/Ideal_models/HalfCheetah
PPO,1.4380753138075317,0.4,1000,3530.654856854559,Models/HalfCitah_models/Ideal_models/HalfCheetah
PPO,1.4380753138075317,0.4,1000,1533.522955249065,Models/HalfCitah_models/Ideal_models/HalfCheetah
PPO,1.4380753138075317,0.4,1000,1866.355220004646,Models/HalfCitah_models/Ideal_models/HalfCheetah
PPO,1.4380753138075317,0.4,1000,894.3168869779101,Models/HalfCitah_models/Ideal_models/HalfCheetah
PPO,1.4380753138075317,0.4,1000,3205.224575770736,Models/HalfCitah_models/Ideal_models/HalfCheetah
PPO,1.4380753138075317,0.4,1000,1948.781764987305,Models/HalfCitah_models/Ideal_models/HalfCheetah
