algorithm,Mass,Friction,steps,reward,model
PPO,1.0066527196652721,0.4,1000,698.0761251848598,Models/HalfCitah_models/Ideal_models/HalfCheetah
PPO,1.0066527196652721,0.4,1000,415.8285064334807,Models/HalfCitah_models/Ideal_models/HalfCheetah
PPO,1.0066527196652721,0.4,1000,701.3308338951135,Models/HalfCitah_models/Ideal_models/HalfCheetah
PPO,1.0066527196652721,0.4,1000,559.9658660154363,Models/HalfCitah_models/Ideal_models/HalfCheetah
PPO,1.0066527196652721,0.4,1000,279.6683866948197,Models/HalfCitah_models/Ideal_models/HalfCheetah
PPO,1.0066527196652721,0.4,1000,894.9641681952425,Models/HalfCitah_models/Ideal_models/HalfCheetah
PPO,1.0066527196652721,0.4,1000,530.4755855230763,Models/HalfCitah_models/Ideal_models/HalfCheetah
PPO,1.0066527196652721,0.4,1000,464.475767178246,Models/HalfCitah_models/Ideal_models/HalfCheetah
PPO,1.0066527196652721,0.4,1000,606.4660738875689,Models/HalfCitah_models/Ideal_models/HalfCheetah
PPO,1.0066527196652721,0.4,1000,770.670513218826,Models/HalfCitah_models/Ideal_models/HalfCheetah
PPO,1.0066527196652721,0.4,1000,601.0229369399101,Models/HalfCitah_models/Ideal_models/HalfCheetah
PPO,1.0066527196652721,0.4,1000,771.1306335207178,Models/HalfCitah_models/Ideal_models/HalfCheetah
PPO,1.0066527196652721,0.4,1000,904.6458688558329,Models/HalfCitah_models/Ideal_models/HalfCheetah
PPO,1.0066527196652721,0.4,1000,884.1617181369974,Models/HalfCitah_models/Ideal_models/HalfCheetah
PPO,1.0066527196652721,0.4,1000,627.7106599964459,Models/HalfCitah_models/Ideal_models/HalfCheetah
