algorithm,Mass,Friction,steps,reward,model
PPO,0.1438075313807532,0.52,1000,-254.84695247331095,Models/HalfCitah_models/Ideal_models/HalfCheetah
PPO,0.1438075313807532,0.52,1000,87.60754281111647,Models/HalfCitah_models/Ideal_models/HalfCheetah
PPO,0.1438075313807532,0.52,1000,112.51796588070039,Models/HalfCitah_models/Ideal_models/HalfCheetah
PPO,0.1438075313807532,0.52,1000,-89.4531134616312,Models/HalfCitah_models/Ideal_models/HalfCheetah
PPO,0.1438075313807532,0.52,1000,153.55235042343563,Models/HalfCitah_models/Ideal_models/HalfCheetah
PPO,0.1438075313807532,0.52,1000,-91.03574943665424,Models/HalfCitah_models/Ideal_models/HalfCheetah
PPO,0.1438075313807532,0.52,1000,-4.998133706859484,Models/HalfCitah_models/Ideal_models/HalfCheetah
PPO,0.1438075313807532,0.52,1000,-249.57062559400632,Models/HalfCitah_models/Ideal_models/HalfCheetah
PPO,0.1438075313807532,0.52,1000,-267.96045994417574,Models/HalfCitah_models/Ideal_models/HalfCheetah
PPO,0.1438075313807532,0.52,1000,-204.956969744828,Models/HalfCitah_models/Ideal_models/HalfCheetah
PPO,0.1438075313807532,0.52,1000,-300.9337307572397,Models/HalfCitah_models/Ideal_models/HalfCheetah
PPO,0.1438075313807532,0.52,1000,44.779000996343484,Models/HalfCitah_models/Ideal_models/HalfCheetah
PPO,0.1438075313807532,0.52,1000,-309.04038010364104,Models/HalfCitah_models/Ideal_models/HalfCheetah
PPO,0.1438075313807532,0.52,1000,-167.73519372897255,Models/HalfCitah_models/Ideal_models/HalfCheetah
PPO,0.1438075313807532,0.52,1000,206.60443894934554,Models/HalfCitah_models/Ideal_models/HalfCheetah
