algorithm,Mass,Friction,steps,reward,model
RARL,1.4287029288702926,0.6,1000,3375.617823724926,Models/HalfCitah_models/Adversarial_models/HalfCheetah_adversarial_2
RARL,1.4287029288702926,0.6,1000,3327.3001686503385,Models/HalfCitah_models/Adversarial_models/HalfCheetah_adversarial_2
RARL,1.4287029288702926,0.6,1000,3297.774517401537,Models/HalfCitah_models/Adversarial_models/HalfCheetah_adversarial_2
RARL,1.4287029288702926,0.6,1000,3357.2476373191184,Models/HalfCitah_models/Adversarial_models/HalfCheetah_adversarial_2
RARL,1.4287029288702926,0.6,1000,3325.2505064912857,Models/HalfCitah_models/Adversarial_models/HalfCheetah_adversarial_2
RARL,1.4287029288702926,0.6,1000,3286.4598488148604,Models/HalfCitah_models/Adversarial_models/HalfCheetah_adversarial_2
RARL,1.4287029288702926,0.6,1000,3116.7720673873755,Models/HalfCitah_models/Adversarial_models/HalfCheetah_adversarial_2
RARL,1.4287029288702926,0.6,1000,3239.2325225023305,Models/HalfCitah_models/Adversarial_models/HalfCheetah_adversarial_2
RARL,1.4287029288702926,0.6,1000,3381.750202293044,Models/HalfCitah_models/Adversarial_models/HalfCheetah_adversarial_2
RARL,1.4287029288702926,0.6,1000,3371.42210967104,Models/HalfCitah_models/Adversarial_models/HalfCheetah_adversarial_2
RARL,1.4287029288702926,0.6,1000,3327.85066377955,Models/HalfCitah_models/Adversarial_models/HalfCheetah_adversarial_2
RARL,1.4287029288702926,0.6,1000,3256.6950863020847,Models/HalfCitah_models/Adversarial_models/HalfCheetah_adversarial_2
RARL,1.4287029288702926,0.6,1000,3373.935366258137,Models/HalfCitah_models/Adversarial_models/HalfCheetah_adversarial_2
RARL,1.4287029288702926,0.6,1000,3428.388830904626,Models/HalfCitah_models/Adversarial_models/HalfCheetah_adversarial_2
RARL,1.4287029288702926,0.6,1000,3434.134148763027,Models/HalfCitah_models/Adversarial_models/HalfCheetah_adversarial_2
