algorithm,Mass,Friction,steps,reward,model
PPO,4.057890510886818,0.8,363,1089.1684055508083,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,4.057890510886818,0.8,309,905.522995343636,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,4.057890510886818,0.8,306,864.0686742506139,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,4.057890510886818,0.8,463,1391.7708997920136,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,4.057890510886818,0.8,320,879.4047416162675,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,4.057890510886818,0.8,314,963.8936607221058,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,4.057890510886818,0.8,403,1190.1196416735575,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,4.057890510886818,0.8,329,967.7954361366701,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,4.057890510886818,0.8,174,391.8415989343875,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,4.057890510886818,0.8,477,1429.2703573145773,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,4.057890510886818,0.8,368,1154.5321808951949,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,4.057890510886818,0.8,406,1183.1070734385203,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,4.057890510886818,0.8,325,999.8307717458756,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,4.057890510886818,0.8,351,1051.0468417332359,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,4.057890510886818,0.8,572,1718.1206388106248,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,4.057890510886818,0.8,292,824.7571333508098,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,4.057890510886818,0.8,309,889.9489614659486,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,4.057890510886818,0.8,403,1182.7092188724807,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,4.057890510886818,0.8,333,934.3132764693437,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,4.057890510886818,0.8,310,894.7958097769933,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,4.057890510886818,0.8,437,1306.2277807256687,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,4.057890510886818,0.8,309,914.9647070291085,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,4.057890510886818,0.8,115,233.48635456635154,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,4.057890510886818,0.8,222,638.9419095510732,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,4.057890510886818,0.8,307,897.7378881655959,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,4.057890510886818,0.8,369,1098.7864345080072,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,4.057890510886818,0.8,381,1137.9361731974059,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,4.057890510886818,0.8,318,926.6533767483834,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,4.057890510886818,0.8,622,1814.9929875761454,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,4.057890510886818,0.8,218,617.7945159857145,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,4.057890510886818,0.8,382,1152.163154334673,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,4.057890510886818,0.8,363,1086.5150812760705,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,4.057890510886818,0.8,281,755.1482662986837,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,4.057890510886818,0.8,586,1733.8115513861055,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,4.057890510886818,0.8,465,1422.4688877710323,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,4.057890510886818,0.8,525,1607.4317795817005,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,4.057890510886818,0.8,321,876.4962838577112,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,4.057890510886818,0.8,444,1313.5901202681844,Models/Hopper/Ideal_models/Hopper_model_PPO
