algorithm,Mass,Friction,steps,reward,model
PPO,8.115781021773635,1.0,176,533.3508849816861,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,8.115781021773635,1.0,177,517.0331863851542,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,8.115781021773635,1.0,157,437.1274511282902,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,8.115781021773635,1.0,187,552.6963222998502,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,8.115781021773635,1.0,175,533.9835304085536,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,8.115781021773635,1.0,175,511.1294186257983,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,8.115781021773635,1.0,176,506.3924739861541,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,8.115781021773635,1.0,182,524.2208267716951,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,8.115781021773635,1.0,160,449.1458812290757,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,8.115781021773635,1.0,160,452.19216804908956,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,8.115781021773635,1.0,180,521.546013379625,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,8.115781021773635,1.0,161,431.6403292368745,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,8.115781021773635,1.0,157,456.0736407504019,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,8.115781021773635,1.0,167,473.64228019507595,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,8.115781021773635,1.0,163,484.093973336476,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,8.115781021773635,1.0,180,537.2390865965472,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,8.115781021773635,1.0,157,452.84619867691345,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,8.115781021773635,1.0,168,488.9555670008399,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,8.115781021773635,1.0,175,533.677196094648,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,8.115781021773635,1.0,169,486.16101590287553,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,8.115781021773635,1.0,186,551.5909671314121,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,8.115781021773635,1.0,183,500.32029240534666,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,8.115781021773635,1.0,155,448.64158233869324,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,8.115781021773635,1.0,176,504.2079093456335,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,8.115781021773635,1.0,169,473.49918787466004,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,8.115781021773635,1.0,170,488.5876353705464,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,8.115781021773635,1.0,162,445.3484547522762,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,8.115781021773635,1.0,178,528.38301029587,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,8.115781021773635,1.0,162,478.0420453783513,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,8.115781021773635,1.0,174,505.1186117262223,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,8.115781021773635,1.0,160,444.9228911897726,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,8.115781021773635,1.0,188,551.5329015266834,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,8.115781021773635,1.0,177,500.14634985203793,Models/Hopper/Ideal_models/Hopper_model_PPO
