algorithm,Mass,Friction,steps,reward,model
PPO,2.8405233576207722,0.0,189,493.5552465826249,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,2.8405233576207722,0.0,252,753.8706915835076,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,2.8405233576207722,0.0,862,2643.7104577071914,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,2.8405233576207722,0.0,297,825.7016309847577,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,2.8405233576207722,0.0,790,2064.5282702503855,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,2.8405233576207722,0.0,148,374.39295323130955,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,2.8405233576207722,0.0,160,372.58096520523395,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,2.8405233576207722,0.0,587,1604.156786492249,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,2.8405233576207722,0.0,290,819.210030966598,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,2.8405233576207722,0.0,290,867.0616510469695,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,2.8405233576207722,0.0,1000,2874.272636625861,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,2.8405233576207722,0.0,381,1156.4155595936745,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,2.8405233576207722,0.0,135,334.6148530541289,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,2.8405233576207722,0.0,137,335.1181025832847,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,2.8405233576207722,0.0,1000,2883.7439440459148,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,2.8405233576207722,0.0,349,1040.967527501819,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,2.8405233576207722,0.0,219,619.533030767846,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,2.8405233576207722,0.0,146,359.77202492162814,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,2.8405233576207722,0.0,254,778.7235540625206,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,2.8405233576207722,0.0,271,808.9769914372209,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,2.8405233576207722,0.0,258,757.4557747881927,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,2.8405233576207722,0.0,163,435.7027912398271,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,2.8405233576207722,0.0,175,458.18619342461767,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,2.8405233576207722,0.0,249,737.5537541582567,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,2.8405233576207722,0.0,254,775.5536428115995,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,2.8405233576207722,0.0,159,418.3272629219448,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,2.8405233576207722,0.0,359,1095.0603552416528,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,2.8405233576207722,0.0,260,761.7749882762519,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,2.8405233576207722,0.0,635,1567.8713236123876,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,2.8405233576207722,0.0,153,405.35985503656684,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,2.8405233576207722,0.0,186,504.14099449304285,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,2.8405233576207722,0.0,141,357.1507331637149,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,2.8405233576207722,0.0,142,347.38962896168323,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,2.8405233576207722,0.0,143,350.6701792097656,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,2.8405233576207722,0.0,361,1092.5156560143953,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,2.8405233576207722,0.0,326,977.7365091295139,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,2.8405233576207722,0.0,267,779.8664359773825,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,2.8405233576207722,0.0,276,849.8717949435486,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,2.8405233576207722,0.0,168,443.30094435115507,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,2.8405233576207722,0.0,403,1206.8880039640271,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,2.8405233576207722,0.0,433,1162.4035952481372,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,2.8405233576207722,0.0,213,618.3956074835705,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,2.8405233576207722,0.0,205,569.5816079302158,Models/Hopper/Ideal_models/Hopper_model_PPO
PPO,2.8405233576207722,0.0,215,588.6473038418544,Models/Hopper/Ideal_models/Hopper_model_PPO
