algorithm,Mass,Friction,steps,reward,model
RARL_PPO,4.869468613064181,0.4,289,909.3263268343005,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,372,1126.8596943118464,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,305,834.7630448138673,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,237,661.4314533158436,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,167,491.0639116782072,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,322,1010.9831728118916,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,228,593.1441194315739,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,351,1036.453652543155,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,218,598.3362816558456,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,272,853.6005302125413,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,132,324.20405584073126,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,213,583.456619373851,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,315,845.3583869495918,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,219,590.6762728568165,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,160,354.05742880738126,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,165,482.35581007715155,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,333,954.8534058699397,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,395,1176.3702263382065,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,295,816.6744618244229,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,271,696.0606398460022,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,290,834.2196416973638,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,261,760.5295420967205,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,223,586.2445410839024,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,309,785.4638596062202,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,265,604.443323323299,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,294,828.1363017877925,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,182,536.6062772480859,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,320,941.1545911268204,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,448,1363.5910472683072,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,395,1226.39438249061,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,154,330.6008515385065,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,284,771.5005326271821,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,346,1021.0331217690723,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,307,888.5842053402848,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,237,590.0475576838335,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,288,947.5388779382652,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,375,1124.3771904171836,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,297,954.236021793954,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,152,404.6678315268755,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,252,692.645454745707,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,338,1087.2531271369553,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,277,887.4587074121275,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,379,1196.9157768326006,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,272,806.921736094419,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,297,878.6199899785724,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,250,754.291838021104,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,270,813.0655675404305,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,309,1009.2873114046606,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,215,591.5151705098024,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,267,648.3753615515707,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
RARL_PPO,4.869468613064181,0.4,178,532.7492853607273,Models/Hopper/Adversarial_models/Hopper_Adversarial_PPO_model
