algorithm,Mass,Friction,steps,reward,model
PPO,2.7813566959781637,1.0,429,1288.7863175878808,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,2.7813566959781637,1.0,388,1097.368041013118,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,2.7813566959781637,1.0,834,2571.8619438406636,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,2.7813566959781637,1.0,448,1360.4995862706535,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,2.7813566959781637,1.0,472,1364.0531515851592,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,2.7813566959781637,1.0,711,2138.123000292315,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,2.7813566959781637,1.0,379,1100.7657536652766,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,2.7813566959781637,1.0,142,257.97487437118457,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,2.7813566959781637,1.0,660,1925.8867807766164,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,2.7813566959781637,1.0,811,2396.3858018584515,Models/Hopper/Ideal_models/Hopper_PPO_2
