algorithm,Mass,Friction,steps,reward,model
PPO,2.7813566959781637,2.2,431,1241.6956140477505,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,2.7813566959781637,2.2,580,1716.0066344134448,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,2.7813566959781637,2.2,478,1388.7235350597884,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,2.7813566959781637,2.2,289,722.0078627382891,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,2.7813566959781637,2.2,485,1319.3630651584213,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,2.7813566959781637,2.2,722,2147.1489371261578,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,2.7813566959781637,2.2,490,1453.48889369381,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,2.7813566959781637,2.2,538,1631.5580814863388,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,2.7813566959781637,2.2,554,1680.549045842124,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,2.7813566959781637,2.2,738,2159.0955294149703,Models/Hopper/Ideal_models/Hopper_PPO_2
