algorithm,Mass,Friction,steps,reward,model
PPO,4.869468613064181,1.0,395,1196.861755955906,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,4.869468613064181,1.0,387,1146.3871985730927,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,4.869468613064181,1.0,370,1091.2556786240762,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,4.869468613064181,1.0,565,1607.2942813578256,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,4.869468613064181,1.0,344,1021.8009775001419,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,4.869468613064181,1.0,469,1337.958514066764,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,4.869468613064181,1.0,309,895.7648932544025,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,4.869468613064181,1.0,363,1000.0748793104909,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,4.869468613064181,1.0,373,1061.4561255684653,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,4.869468613064181,1.0,401,1182.2125097309158,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,4.869468613064181,1.0,381,1082.4951977366995,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,4.869468613064181,1.0,316,889.4978481792132,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,4.869468613064181,1.0,350,1045.0876369074858,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,4.869468613064181,1.0,347,1072.8208495290846,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,4.869468613064181,1.0,287,862.9125949127547,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,4.869468613064181,1.0,379,1086.3584876739797,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,4.869468613064181,1.0,720,2128.655998944853,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,4.869468613064181,1.0,385,1189.932042654617,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,4.869468613064181,1.0,482,1449.6301920509459,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,4.869468613064181,1.0,446,1310.940997173071,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,4.869468613064181,1.0,288,763.969269580781,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,4.869468613064181,1.0,389,1128.8551345332505,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,4.869468613064181,1.0,326,882.6863591562596,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,4.869468613064181,1.0,219,584.0848083205019,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,4.869468613064181,1.0,457,1344.24104566002,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,4.869468613064181,1.0,535,1586.657350655556,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,4.869468613064181,1.0,463,1375.1116782144627,Models/Hopper/Ideal_models/Hopper_PPO_2
