algorithm,Mass,Friction,steps,reward,model
PPO,3.3376280351737964,2.2,286,860.3655647037068,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,3.3376280351737964,2.2,356,1041.8590265474527,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,3.3376280351737964,2.2,281,851.4520652179453,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,3.3376280351737964,2.2,298,862.3935677868985,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,3.3376280351737964,2.2,329,973.8906534292996,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,3.3376280351737964,2.2,290,914.1923974607207,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,3.3376280351737964,2.2,220,611.8915521528058,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,3.3376280351737964,2.2,351,1109.379871441767,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,3.3376280351737964,2.2,301,826.8681408905791,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,3.3376280351737964,2.2,205,495.0842661054189,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,3.3376280351737964,2.2,304,844.209765830271,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,3.3376280351737964,2.2,453,1358.667665728493,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,3.3376280351737964,2.2,221,602.4033453990601,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,3.3376280351737964,2.2,202,582.3385650700986,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,3.3376280351737964,2.2,247,746.797749003202,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,3.3376280351737964,2.2,349,1096.5121177831143,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,3.3376280351737964,2.2,210,474.73462916199605,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,3.3376280351737964,2.2,212,604.3413662240155,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,3.3376280351737964,2.2,208,543.5800901007342,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,3.3376280351737964,2.2,185,486.8288005105296,Models/Hopper/Ideal_models/Hopper_PPO_2
