algorithm,Mass,Friction,steps,reward,model
PPO,4.057890510886818,1.0,433,1277.5908813848841,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,4.057890510886818,1.0,384,1059.871847185761,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,4.057890510886818,1.0,469,1478.1295175340706,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,4.057890510886818,1.0,642,1880.1516827384849,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,4.057890510886818,1.0,620,1820.5626007944759,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,4.057890510886818,1.0,634,1940.0958606032434,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,4.057890510886818,1.0,367,1032.8348985387684,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,4.057890510886818,1.0,366,1069.3538085821883,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,4.057890510886818,1.0,504,1577.6067439438614,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,4.057890510886818,1.0,448,1335.9453227908864,Models/Hopper/Ideal_models/Hopper_PPO_2
PPO,4.057890510886818,1.0,725,2127.0781989318043,Models/Hopper/Ideal_models/Hopper_PPO_2
