algorithm,perturbation,steps,reward,model
PPO,-0.5,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,-0.5,310,309,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,-0.5,61,60,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,-0.5,816,815,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,-0.5,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,-0.5,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,-0.5,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,-0.5,458,457,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,-0.5,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,-0.5,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,-0.5,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,-0.5,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,-0.5,618,617,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,-0.5,349,348,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,-0.5,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,-0.5,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,-0.5,172,171,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,-0.5,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,-0.5,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,-0.5,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,-0.5,780,779,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,-0.5,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,-0.5,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,-0.5,727,726,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,-0.5,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,-0.5,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,-0.5,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,-0.5,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,-0.5,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,-0.5,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,-0.5,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,-0.5,442,441,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,-0.5,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,-0.5,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,-0.5,167,166,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,-0.5,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,-0.5,18,17,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,-0.5,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
