algorithm,Mass,Friction,steps,reward,model
PPO,2.509295820681653,1.0,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,2.509295820681653,1.0,260,259,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,2.509295820681653,1.0,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,2.509295820681653,1.0,517,516,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,2.509295820681653,1.0,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,2.509295820681653,1.0,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,2.509295820681653,1.0,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,2.509295820681653,1.0,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,2.509295820681653,1.0,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,2.509295820681653,1.0,454,453,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,2.509295820681653,1.0,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,2.509295820681653,1.0,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,2.509295820681653,1.0,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
