algorithm,Mass,Friction,steps,reward,model
PPO,2.509295820681653,0.8,96,95,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,2.509295820681653,0.8,971,970,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,2.509295820681653,0.8,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,2.509295820681653,0.8,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,2.509295820681653,0.8,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,2.509295820681653,0.8,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,2.509295820681653,0.8,935,934,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,2.509295820681653,0.8,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,2.509295820681653,0.8,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,2.509295820681653,0.8,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,2.509295820681653,0.8,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,2.509295820681653,0.8,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
