algorithm,Mass,Friction,steps,reward,model
PPO,40.14873313090645,0.0,91,90,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,40.14873313090645,0.0,44,43,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,40.14873313090645,0.0,331,330,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,40.14873313090645,0.0,466,465,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,40.14873313090645,0.0,31,30,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,40.14873313090645,0.0,236,235,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,40.14873313090645,0.0,24,23,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,40.14873313090645,0.0,33,32,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,40.14873313090645,0.0,97,96,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,40.14873313090645,0.0,38,37,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,40.14873313090645,0.0,404,403,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,40.14873313090645,0.0,405,404,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,40.14873313090645,0.0,83,82,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,40.14873313090645,0.0,272,271,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,40.14873313090645,0.0,28,27,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,40.14873313090645,0.0,44,43,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,40.14873313090645,0.0,48,47,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,40.14873313090645,0.0,10,9,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,40.14873313090645,0.0,20,19,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,40.14873313090645,0.0,25,24,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,40.14873313090645,0.0,26,25,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,40.14873313090645,0.0,212,211,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,40.14873313090645,0.0,106,105,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,40.14873313090645,0.0,126,125,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,40.14873313090645,0.0,10,9,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,40.14873313090645,0.0,133,132,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,40.14873313090645,0.0,239,238,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,40.14873313090645,0.0,392,391,Models/CartPole_models/Ideal_models/CartPole_model_1
