algorithm,Mass,Friction,steps,reward,model
RARL_PPO,40.14873313090645,1.0,665,664,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,40.14873313090645,1.0,52,51,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,40.14873313090645,1.0,442,441,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,40.14873313090645,1.0,7,6,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,40.14873313090645,1.0,112,111,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,40.14873313090645,1.0,335,334,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,40.14873313090645,1.0,99,98,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,40.14873313090645,1.0,107,106,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,40.14873313090645,1.0,4,3,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,40.14873313090645,1.0,773,772,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,40.14873313090645,1.0,228,227,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,40.14873313090645,1.0,383,382,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,40.14873313090645,1.0,210,209,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,40.14873313090645,1.0,222,221,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,40.14873313090645,1.0,332,331,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,40.14873313090645,1.0,35,34,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,40.14873313090645,1.0,488,487,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,40.14873313090645,1.0,265,264,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,40.14873313090645,1.0,509,508,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,40.14873313090645,1.0,327,326,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,40.14873313090645,1.0,35,34,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,40.14873313090645,1.0,368,367,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,40.14873313090645,1.0,421,420,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,40.14873313090645,1.0,41,40,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,40.14873313090645,1.0,297,296,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,40.14873313090645,1.0,507,506,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,40.14873313090645,1.0,276,275,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,40.14873313090645,1.0,565,564,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,40.14873313090645,1.0,36,35,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,40.14873313090645,1.0,583,582,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,40.14873313090645,1.0,57,56,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,40.14873313090645,1.0,329,328,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,40.14873313090645,1.0,1000,1000,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,40.14873313090645,1.0,1000,1000,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
