algorithm,perturbation,steps,reward,model
RARL,-0.9,17,16,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL,-0.9,33,32,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL,-0.9,10,9,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL,-0.9,52,51,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL,-0.9,14,13,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL,-0.9,26,25,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL,-0.9,9,8,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL,-0.9,22,21,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL,-0.9,19,18,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL,-0.9,30,29,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL,-0.9,45,44,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL,-0.9,46,45,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL,-0.9,18,17,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL,-0.9,22,21,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL,-0.9,9,8,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL,-0.9,27,26,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL,-0.9,16,15,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL,-0.9,20,19,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL,-0.9,34,33,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL,-0.9,8,7,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL,-0.9,7,6,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL,-0.9,9,8,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL,-0.9,23,22,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL,-0.9,13,12,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL,-0.9,15,14,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL,-0.9,157,156,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL,-0.9,36,35,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL,-0.9,39,38,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL,-0.9,29,28,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL,-0.9,17,16,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL,-0.9,12,11,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL,-0.9,34,33,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL,-0.9,11,10,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL,-0.9,35,34,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL,-0.9,21,20,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
