algorithm,Mass,Friction,steps,reward,model
PPO,2.509295820681653,1.3,818,817,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,2.509295820681653,1.3,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,2.509295820681653,1.3,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,2.509295820681653,1.3,467,466,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,2.509295820681653,1.3,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,2.509295820681653,1.3,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,2.509295820681653,1.3,529,528,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,2.509295820681653,1.3,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,2.509295820681653,1.3,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,2.509295820681653,1.3,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,2.509295820681653,1.3,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,2.509295820681653,1.3,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,2.509295820681653,1.3,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
