algorithm,Mass,Friction,steps,reward,model
PPO,1.505577492408992,1.0,21,20,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,1.505577492408992,1.0,68,67,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,1.505577492408992,1.0,85,84,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,1.505577492408992,1.0,16,15,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,1.505577492408992,1.0,57,56,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,1.505577492408992,1.0,342,341,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,1.505577492408992,1.0,55,54,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,1.505577492408992,1.0,375,374,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,1.505577492408992,1.0,120,119,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,1.505577492408992,1.0,58,57,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,1.505577492408992,1.0,171,170,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,1.505577492408992,1.0,186,185,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,1.505577492408992,1.0,84,83,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,1.505577492408992,1.0,17,16,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,1.505577492408992,1.0,61,60,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,1.505577492408992,1.0,134,133,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,1.505577492408992,1.0,18,17,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,1.505577492408992,1.0,226,225,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,1.505577492408992,1.0,57,56,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,1.505577492408992,1.0,234,233,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,1.505577492408992,1.0,17,16,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,1.505577492408992,1.0,71,70,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,1.505577492408992,1.0,248,247,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,1.505577492408992,1.0,95,94,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,1.505577492408992,1.0,49,48,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,1.505577492408992,1.0,19,18,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,1.505577492408992,1.0,72,71,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,1.505577492408992,1.0,80,79,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,1.505577492408992,1.0,53,52,Models/CartPole_models/Ideal_models/CartPole_model_1
