algorithm,Mass,Friction,steps,reward,model
PPO,60.223099696359675,1.5,13,12,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,60.223099696359675,1.5,15,14,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,60.223099696359675,1.5,3,2,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,60.223099696359675,1.5,15,14,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,60.223099696359675,1.5,15,14,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,60.223099696359675,1.5,5,4,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,60.223099696359675,1.5,13,12,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,60.223099696359675,1.5,18,17,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,60.223099696359675,1.5,48,47,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,60.223099696359675,1.5,54,53,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,60.223099696359675,1.5,20,19,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,60.223099696359675,1.5,13,12,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,60.223099696359675,1.5,34,33,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,60.223099696359675,1.5,37,36,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,60.223099696359675,1.5,15,14,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,60.223099696359675,1.5,6,5,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,60.223099696359675,1.5,39,38,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,60.223099696359675,1.5,35,34,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,60.223099696359675,1.5,27,26,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,60.223099696359675,1.5,38,37,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,60.223099696359675,1.5,16,15,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,60.223099696359675,1.5,34,33,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,60.223099696359675,1.5,57,56,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,60.223099696359675,1.5,7,6,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,60.223099696359675,1.5,25,24,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,60.223099696359675,1.5,57,56,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,60.223099696359675,1.5,29,28,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,60.223099696359675,1.5,24,23,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,60.223099696359675,1.5,8,7,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,60.223099696359675,1.5,10,9,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,60.223099696359675,1.5,52,51,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,60.223099696359675,1.5,33,32,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,60.223099696359675,1.5,19,18,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,60.223099696359675,1.5,28,27,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,60.223099696359675,1.5,20,19,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,60.223099696359675,1.5,13,12,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,60.223099696359675,1.5,22,21,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,60.223099696359675,1.5,48,47,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,60.223099696359675,1.5,8,7,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,60.223099696359675,1.5,28,27,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,60.223099696359675,1.5,8,7,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,60.223099696359675,1.5,61,60,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,60.223099696359675,1.5,22,21,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,60.223099696359675,1.5,48,47,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,60.223099696359675,1.5,9,8,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,60.223099696359675,1.5,34,33,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,60.223099696359675,1.5,26,25,Models/CartPole_models/Ideal_models/CartPole_model_1
