algorithm,Mass,Friction,steps,reward,model
RARL_PPO,60.223099696359675,1.0,13,12,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,32,31,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,58,57,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,29,28,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,32,31,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,10,9,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,102,101,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,71,70,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,129,128,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,12,11,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,39,38,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,6,5,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,149,148,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,47,46,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,32,31,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,17,16,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,23,22,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,47,46,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,92,91,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,75,74,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,26,25,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,25,24,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,154,153,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,30,29,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,23,22,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,40,39,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,58,57,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,261,260,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,25,24,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,14,13,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,41,40,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,41,40,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,167,166,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,28,27,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,15,14,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,76,75,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,23,22,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,64,63,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,12,11,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,10,9,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,48,47,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,116,115,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,39,38,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,65,64,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,84,83,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,40,39,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,22,21,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,36,35,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,33,32,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,29,28,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,10,9,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,31,30,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
RARL_PPO,60.223099696359675,1.0,25,24,Models/CartPole_models/Adversarial_models/CartPole_Adversarial_model_1
