algorithm,perturbation,steps,reward,model
PPO,-0.09999999999999998,282,912.5215199715245,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.09999999999999998,465,1684.5720850496068,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.09999999999999998,391,1372.4530977555282,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.09999999999999998,327,1151.1486765612449,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.09999999999999998,202,621.6668642398436,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.09999999999999998,289,920.1111123297051,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.09999999999999998,561,1935.8759435945203,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.09999999999999998,423,1313.7591139098768,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.09999999999999998,142,391.19910183398656,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.09999999999999998,265,783.4319399386522,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.09999999999999998,289,1048.1021341091025,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.09999999999999998,182,514.3202627502747,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.09999999999999998,260,830.4645062130321,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.09999999999999998,273,928.7038488981543,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.09999999999999998,307,1156.0467406966236,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.09999999999999998,440,1570.7616286654466,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.09999999999999998,530,1929.2115888977687,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.09999999999999998,269,805.2750276490929,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.09999999999999998,280,1014.0578524570976,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.09999999999999998,666,2180.7545827415506,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.09999999999999998,383,1313.0108355705943,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.09999999999999998,455,1642.945881775201,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.09999999999999998,164,489.09925536362334,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.09999999999999998,308,957.9512774979303,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.09999999999999998,418,1329.4712128569154,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.09999999999999998,493,1656.294417031769,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.09999999999999998,459,1445.397770324527,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.09999999999999998,310,1018.1741416874793,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.09999999999999998,155,436.0263852294347,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.09999999999999998,226,640.2335919429106,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.09999999999999998,194,614.8236159473327,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.09999999999999998,216,637.5570694588814,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.09999999999999998,265,786.2552730273146,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.09999999999999998,463,1697.7924894325733,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.09999999999999998,226,657.3136426843577,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.09999999999999998,540,1864.9063213114073,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.09999999999999998,287,997.0247898002181,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.09999999999999998,434,1432.037118826805,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.09999999999999998,300,994.0960804325423,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.09999999999999998,161,463.61727272070584,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.09999999999999998,277,862.7802425939453,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.09999999999999998,326,1086.6621012784044,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.09999999999999998,286,946.801671528834,Models/Walker_models/Ideal_models/Walker_model_colab
