algorithm,perturbation,steps,reward,model
PPO,-0.9,79,124.0406493558661,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,75,143.76117931045968,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,103,207.14349228201098,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,141,197.68206179276126,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,226,361.47226673607656,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,85,166.4320242628453,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,122,242.55064337835256,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,58,111.72458663170733,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,86,174.57656437500077,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,123,223.26693386441207,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,82,169.17126674315637,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,216,341.59556841905305,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,116,239.11458577950953,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,105,189.90610590596634,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,136,232.26315239035875,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,123,123.70746881235709,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,119,228.95912656854716,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,134,165.5566731705926,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,67,129.26579344873016,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,77,152.00238989591116,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,232,388.148816245091,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,126,137.04310895900744,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,84,171.91365262490308,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,134,166.61441607207144,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,122,209.50976696874386,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,87,179.78592089279573,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,141,282.6260222769406,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,103,184.07826268117424,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,74,153.38995349643483,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,115,119.49482601991895,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,132,200.15548164593565,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,177,153.79265836333252,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,137,275.7482628783564,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,117,213.09919010524754,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,67,133.48127519131776,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,74,142.5341556892481,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,77,138.05432519857914,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,99,185.48688512053832,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,177,295.8472567474746,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,76,142.73176265226812,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,235,367.587413367045,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,134,269.861919186098,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,242,365.7252973505947,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,227,373.43174334967625,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,88,162.0585415719761,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,72,145.20332578086527,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,129,266.60556712228754,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,127,159.99497101031557,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,137,175.9733345848199,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,138,285.43290550000165,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,235,335.69958372011934,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,208,344.3452956264082,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,117,109.58123401876765,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,112,228.8649905006896,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,165,395.41465246783446,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,90,184.31745663577203,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,77,141.29520541536112,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,-0.9,131,158.9631239446935,Models/Walker_models/Ideal_models/Walker_model_colab
