algorithm,perturbation,steps,reward,model
PPO,0.1,350,1197.1463466864066,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,249,843.0642449195143,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,308,1080.444534940203,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,379,1350.8442248339543,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,315,1074.026986554206,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,131,360.32613722686074,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,181,545.1337828112892,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,276,962.0386828651381,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,212,691.4591132265286,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,295,1011.9353130994359,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,167,488.2439020058482,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,130,346.49874931082377,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,194,621.0232719984215,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,206,629.0905530345462,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,304,1032.1242721247181,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,334,1085.074951516648,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,179,523.4912476240552,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,187,576.34077402197,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,329,1086.9647668002399,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,178,569.6780494706472,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,138,369.8319555369744,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,327,1163.9983699603727,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,225,712.230958797194,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,264,900.0236260138154,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,282,997.8412626162863,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,316,1103.130354381843,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,175,541.7456376787923,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,253,862.5030703078155,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,320,1122.9771387214932,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,311,1060.405839201012,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,273,883.2953422288774,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,299,995.01852206291,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,289,1028.7403198467691,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,244,790.0014681182947,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,198,641.3263157740439,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,277,934.0549979131392,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,278,987.1706117606045,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,289,999.9155406956561,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,279,1006.3702032565234,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,259,806.3562816783008,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,227,736.6718155677315,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,170,517.2487974414312,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,311,1064.3075685678505,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,363,1261.190177135904,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,199,638.7242727864977,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,138,358.9242512764213,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,328,1162.332741035214,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,345,1213.999590325403,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,194,650.6674346401178,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,374,1301.3033514228937,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,137,378.50975713648586,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,248,789.0021476439524,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,320,1118.3646207012443,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,357,1271.4095355475602,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,162,478.85351494927454,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,332,1167.3692211535272,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,317,1147.5290640913372,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,129,354.04407366160376,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,334,1162.2941843153967,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,373,1305.0496769849851,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,147,417.9548262582575,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,270,947.411307152408,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,297,970.391808337663,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,440,1526.531195213538,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,229,756.029258543891,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,140,385.267277450901,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,131,345.6704518712322,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,186,561.7321599883871,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,131,350.3921474149938,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,179,565.0963249305532,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,284,981.0537408288401,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,315,1097.3789573305294,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,304,1079.0017699739656,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,155,438.83065904030445,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,363,1267.7074025038528,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,309,1005.8428499330403,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,306,1063.8589126930783,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,280,1004.99604586581,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,289,1026.562973960753,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,373,1266.5311232064284,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,295,1034.197480110417,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,246,774.5126267688147,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,225,750.1073660488455,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,311,1022.0348832055224,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,271,806.6745492699956,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,364,1269.8864236804748,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,348,1231.427505161526,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,130,348.46357677139895,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,171,503.7157447864429,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,137,375.22764552141416,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,187,613.6606265764367,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,321,1081.0302084090636,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,405,1463.1750028767146,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,338,1143.4806825098294,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,196,615.1411483887605,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,291,1038.4672582854491,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,184,608.0370139457664,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,213,678.3440089639298,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,303,1029.0057475290232,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,289,925.7695390689514,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,296,1051.7382579779005,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,295,998.430859415992,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,206,627.1208642243473,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,186,562.1080794620975,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,237,803.169541713447,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,285,967.7319446158217,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,294,1054.1895596566683,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,189,589.4604916126409,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,323,1121.4361309399865,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,204,665.8686771229441,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,183,548.980969429118,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,373,1282.684924130066,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,319,1060.6377077983816,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,291,1051.3776053239926,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,302,1097.9822645889433,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,290,1017.5761204694788,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,253,881.3980666957664,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,242,771.8301924813268,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,227,748.8855101579502,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,215,704.6856810222716,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,238,778.872501981059,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,396,1376.5495943259384,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,318,1089.244910620242,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,215,701.119295970333,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,292,986.1105949373614,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,298,1036.155581662215,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,302,1029.786383344137,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,303,1060.4463803328636,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,322,1142.0123720166757,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,321,1111.7455847939182,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,133,357.1994762612776,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,325,1099.7253184426027,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,124,329.9976111180986,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,451,1557.9795933821624,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,312,1066.3172199563633,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,267,901.7417599602741,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,333,1105.7762801241697,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,230,720.3949614762023,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,334,1130.9842557758348,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,224,732.9136249319345,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,275,948.9819050076258,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,232,751.4418901400641,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,267,948.9415936377045,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,126,323.61393458076054,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,138,367.4191766121403,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,224,712.6767925765016,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,429,1234.6310676163957,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,365,1303.1807701328253,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,206,656.9272487598791,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,224,749.3526737260217,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,302,1032.503771230173,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,273,838.487304040603,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,308,1047.8408570829724,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,319,1124.5287993283796,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,354,1221.5191817808845,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,155,449.99562452563623,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,294,1077.3971767915536,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,198,648.0270730986012,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,191,621.3670798987496,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,320,1110.4877626499392,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,289,998.1446568861902,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,211,639.0321611341697,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,293,1044.1204406722863,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,279,1009.2441769193829,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,272,966.1026553192933,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,314,1098.4270776858684,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,143,383.9122312724303,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,142,393.04838886760626,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,161,489.1138063638682,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,292,1038.721758949443,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,289,1014.1259034089344,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,278,941.915544460473,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,164,468.601951372013,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,322,1137.8631216609538,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,294,987.994930677738,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,132,359.34521043653876,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,0.1,301,1027.344823199608,Models/Walker_models/Ideal_models/Walker_model_colab
