algorithm,perturbation,steps,reward,model
PPO,2,174,388.6358381021724,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,160,363.05606173701364,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,163,371.459912531188,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,151,350.54881083699024,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,181,385.74029793887416,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,160,369.9318769220886,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,158,366.4367417700005,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,162,364.09847669748115,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,156,361.41471123205474,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,153,356.2146169534399,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,173,381.4158604311515,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,158,361.33222959541126,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,164,373.1701103065925,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,166,375.8604315010989,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,155,359.2061125927594,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,159,367.5593949060258,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,170,376.30924053038416,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,151,344.79101668356543,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,165,368.649660927671,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,163,372.3440894334726,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,160,371.1209939658802,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,171,380.13520774573954,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,159,363.29792466832623,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,169,375.8929623489439,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,166,382.9571593490218,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,169,367.7520403527287,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,161,369.6981598029506,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,155,357.39175052920655,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,167,375.6633863242714,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,164,376.2883968119404,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,148,344.07840368334655,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,160,371.4934344853118,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,158,366.64048823154553,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,154,358.0034138963383,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,156,354.924090775512,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,148,343.38831322588703,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,158,359.4173676603823,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,158,358.9371356003867,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,154,355.6578421702834,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,154,357.1146026618535,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,169,381.76690086213785,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,182,393.05223764186667,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,169,383.6765759128466,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,174,393.2281877868336,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,149,352.47815080126384,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,166,375.02328786499857,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,157,365.02437309045126,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,161,363.14429546849715,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,172,385.1938247595608,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,161,370.75680588004616,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,164,365.3357687010248,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,166,374.22185541781073,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,161,369.91913301443856,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,163,378.912101188158,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,156,367.2108298640487,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,151,342.16013368182394,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,155,357.9124711246295,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,164,378.40522489549767,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,161,369.9681077052919,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,164,373.3416785252193,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,161,368.9387056830492,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,168,368.65459593703554,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,159,364.8752978586631,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,161,371.16623057820675,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,151,350.9498175367796,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,157,369.88364088554044,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,163,372.7430525430973,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,163,359.8622436870769,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,152,360.5541046100557,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,161,370.89838697069763,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,158,367.57175355128584,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,171,387.8669784512599,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,159,370.05249766101406,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,174,393.5836244784341,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,166,363.2514859787443,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,159,366.4794230837315,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,164,376.83282707773924,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,159,363.99258274216936,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,167,376.66622138212006,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,158,359.23938427241137,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,165,375.57825674998276,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,155,354.52669524357316,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,158,357.1852453424399,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,165,373.8753611341426,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,165,378.13151943389676,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,151,350.31295433759624,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,158,368.24129851934777,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,149,348.59361638841074,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,163,369.52108709060485,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,159,361.40367169023193,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,141,332.81294164360224,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,160,361.29824354756965,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,161,363.9430744569436,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,173,392.7334585073131,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,163,377.01330976480494,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,178,388.696830177023,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,2,172,382.69667485153514,Models/Walker_models/Ideal_models/Walker_model_colab
