algorithm,Mass,Friction,steps,reward,model
PPO,4.057890510886818,0.7,311,1154.6622582173793,Models/Walker_models/Ideal_models/Walker_2D_model_PPO_2
PPO,4.057890510886818,0.7,304,1093.8452410388056,Models/Walker_models/Ideal_models/Walker_2D_model_PPO_2
PPO,4.057890510886818,0.7,382,1329.1921875139751,Models/Walker_models/Ideal_models/Walker_2D_model_PPO_2
PPO,4.057890510886818,0.7,375,1350.782633284206,Models/Walker_models/Ideal_models/Walker_2D_model_PPO_2
PPO,4.057890510886818,0.7,399,1460.1453988247722,Models/Walker_models/Ideal_models/Walker_2D_model_PPO_2
PPO,4.057890510886818,0.7,377,1365.4925577631648,Models/Walker_models/Ideal_models/Walker_2D_model_PPO_2
PPO,4.057890510886818,0.7,336,1202.3395803217354,Models/Walker_models/Ideal_models/Walker_2D_model_PPO_2
PPO,4.057890510886818,0.7,236,776.7434675409604,Models/Walker_models/Ideal_models/Walker_2D_model_PPO_2
PPO,4.057890510886818,0.7,346,1214.3833568819286,Models/Walker_models/Ideal_models/Walker_2D_model_PPO_2
PPO,4.057890510886818,0.7,392,1394.2663051312747,Models/Walker_models/Ideal_models/Walker_2D_model_PPO_2
PPO,4.057890510886818,0.7,353,1309.9815505100946,Models/Walker_models/Ideal_models/Walker_2D_model_PPO_2
PPO,4.057890510886818,0.7,596,2034.8502077801722,Models/Walker_models/Ideal_models/Walker_2D_model_PPO_2
PPO,4.057890510886818,0.7,354,1303.3175729803315,Models/Walker_models/Ideal_models/Walker_2D_model_PPO_2
PPO,4.057890510886818,0.7,336,1253.9719033725714,Models/Walker_models/Ideal_models/Walker_2D_model_PPO_2
PPO,4.057890510886818,0.7,378,1281.5724128026577,Models/Walker_models/Ideal_models/Walker_2D_model_PPO_2
PPO,4.057890510886818,0.7,398,1430.1948716130998,Models/Walker_models/Ideal_models/Walker_2D_model_PPO_2
PPO,4.057890510886818,0.7,335,1214.7153074391028,Models/Walker_models/Ideal_models/Walker_2D_model_PPO_2
PPO,4.057890510886818,0.7,406,1443.2227267393282,Models/Walker_models/Ideal_models/Walker_2D_model_PPO_2
PPO,4.057890510886818,0.7,399,1465.267891089732,Models/Walker_models/Ideal_models/Walker_2D_model_PPO_2
PPO,4.057890510886818,0.7,366,1315.9839897060465,Models/Walker_models/Ideal_models/Walker_2D_model_PPO_2
PPO,4.057890510886818,0.7,308,1140.847664765426,Models/Walker_models/Ideal_models/Walker_2D_model_PPO_2
PPO,4.057890510886818,0.7,390,1417.5112111823992,Models/Walker_models/Ideal_models/Walker_2D_model_PPO_2
PPO,4.057890510886818,0.7,141,419.7954432435308,Models/Walker_models/Ideal_models/Walker_2D_model_PPO_2
PPO,4.057890510886818,0.7,216,741.281591174008,Models/Walker_models/Ideal_models/Walker_2D_model_PPO_2
PPO,4.057890510886818,0.7,430,1630.9667811278546,Models/Walker_models/Ideal_models/Walker_2D_model_PPO_2
PPO,4.057890510886818,0.7,473,1671.8724033017434,Models/Walker_models/Ideal_models/Walker_2D_model_PPO_2
PPO,4.057890510886818,0.7,298,1001.7914514132603,Models/Walker_models/Ideal_models/Walker_2D_model_PPO_2
PPO,4.057890510886818,0.7,383,1314.3372119343294,Models/Walker_models/Ideal_models/Walker_2D_model_PPO_2
PPO,4.057890510886818,0.7,296,1075.5940419316166,Models/Walker_models/Ideal_models/Walker_2D_model_PPO_2
PPO,4.057890510886818,0.7,385,1395.390099930085,Models/Walker_models/Ideal_models/Walker_2D_model_PPO_2
PPO,4.057890510886818,0.7,484,1727.9533901668638,Models/Walker_models/Ideal_models/Walker_2D_model_PPO_2
