algorithm,perturbation,steps,reward,model
RARL,-0.1,134,379.4600836846985,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3360.708520359283,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3300.0867288672393,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,507,1603.2567679983977,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,747,2691.789024386795,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,303,816.2337465149358,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3322.55912426358,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,2987.7520781592975,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,397,1118.4721742566871,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3303.1053355603945,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3431.7456254435783,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3392.7020742325476,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,584,1856.1286152389696,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3243.9369452156097,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3400.804046877027,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3410.9948625948327,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,125,356.1967314914291,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,541,1679.684991457485,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3184.2170485046936,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,682,2116.6929408606993,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,395,1131.760237747305,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3287.901561199349,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,685,2025.7016121033994,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3098.6379732682653,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,616,2201.7292012420403,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3315.858016296635,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,268,598.3284373169513,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3185.9055336517868,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3310.1202961757417,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,69,128.4015278706156,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,70,137.38508047711366,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3260.506956901023,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3134.4211156158817,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3385.7968051313983,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3456.6296284760283,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3012.7644410960893,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,667,2200.7880914017005,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,550,1602.5945743138946,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,588,1203.6878728708164,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3302.8020716759665,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3340.3885465279845,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3498.857330620742,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,777,2811.0760016368913,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3406.54308851154,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,438,1335.1304858787626,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3288.3548767516877,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,647,1508.7632622466335,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,829,2598.243466332129,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,450,1333.2228636656619,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,445,1483.4371688287683,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,226,782.301137549006,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,385,1125.1840370602404,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3170.089239694845,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,315,859.7381689980302,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3313.4893957634,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,76,142.62578134753585,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3146.1890447745945,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3303.539968954028,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3202.3071147255796,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,2844.8486730338445,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,355,1270.8884553262105,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,125,329.94127691614995,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3206.8399692061503,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,287,919.7834383409863,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,648,2230.4647610819666,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3139.414400194666,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3329.7290341764487,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,588,1610.69885138376,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3424.656401611731,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,101,251.25589192861662,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3063.62098867645,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3325.563224093288,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,942,2981.5768037896196,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3363.2196176532707,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3049.6540542832117,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3352.095360239571,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,66,123.07057202370197,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,545,2073.572533459883,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,66,123.4278302000519,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3360.3550974242926,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3459.5367400496516,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,308,844.6784481381437,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,405,831.5615407620635,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3416.635459146908,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3531.505526165176,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,484,1833.7011833107572,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3498.6873700277283,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,194,257.7317674765691,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,450,1397.8582114859855,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,589,1743.3743573856773,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3394.9883682268046,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3431.6928369791094,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3362.6135246320787,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,620,1937.3885327325365,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,617,1911.6093051780754,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3423.279695771963,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3308.685469582615,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,408,1245.8138898600118,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,453,1627.2374210377093,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,122,165.27828898275038,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3311.1526184402064,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3343.0466944031614,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,301,867.8136180835354,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,840,3026.534814231454,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3255.3600552924763,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,372,1055.5685087815018,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3175.832252260094,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3340.460656574737,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,377,1059.1258749405724,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,137,199.5453351101205,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,299,827.080308670571,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3347.502294718697,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3429.904235886439,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,964,2802.1973494165322,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,443,1234.2680378115656,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3419.9093982070954,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3323.303013217519,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3520.9524842181236,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3326.3581261382665,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,529,1934.4963335956086,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,597,1702.954712286387,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3422.110506028711,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,870,2860.433434407647,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3406.3680780008053,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3065.493011714596,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3023.8161908586226,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,725,2278.9411433033965,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3378.1373412280955,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,779,2618.4479926676977,Models/Walker_models/Adversarial_models/Walker_feet_model_05
