algorithm,perturbation,steps,reward,model
RARL,-0.1,422,1349.1775115882388,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3307.669464983786,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,770,2659.755763556438,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3294.4224823550085,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3243.965743390261,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,989,3180.869832909202,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3410.0645328300525,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3113.2776818952807,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,741,2184.965004702648,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3220.650298235869,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3420.4365576579257,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,873,2990.029318800895,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,693,2223.8797596720838,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,842,2507.9583097565,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3288.84652766597,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,653,1956.9827719377972,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,2893.2455450764464,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3349.4537762186483,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3295.67081218752,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,367,1062.2018591559754,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,2833.0109581784855,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3302.1819808960754,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3346.76139823732,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3194.537502575056,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,507,1552.341938528577,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3504.266018841694,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3389.357613616261,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3429.4511816939757,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,402,1140.2990603000871,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3357.6053940842758,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3333.838104310904,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,216,524.0491896664025,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,740,2424.2390331371353,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3414.1661856827195,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,780,2598.4205163845177,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,447,1411.0649160224775,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3210.8911399556987,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,387,1075.3681118291743,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,759,2306.5420920423767,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,970,2991.2140641966416,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,244,560.3432173480287,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,483,1542.1338452454547,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3411.01098401289,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3285.690160529619,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,707,2146.818403418307,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3368.434434152823,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,560,1390.8220529613645,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,116,308.9011020250655,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,510,1535.9775998117516,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,721,2139.0564143192737,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3073.5654049847217,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,420,1241.0978737823762,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,289,160.485863065358,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3424.8023057741884,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,383,1097.335079878656,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,-0.1,1000,3285.059775839607,Models/Walker_models/Adversarial_models/Walker_feet_model_05
