algorithm,perturbation,steps,reward,model
RARL,-0.4,720,2188.1964880453997,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,-0.4,360,740.4885094480292,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,-0.4,219,411.2257243416575,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,-0.4,492,1700.5767339852591,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,-0.4,193,382.6500813714674,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,-0.4,253,463.13799854745776,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,-0.4,325,778.937059181033,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,-0.4,337,861.815585508585,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,-0.4,120,213.66608074513965,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,-0.4,300,820.0950519097046,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,-0.4,386,881.1173370231936,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,-0.4,420,1202.4189634026966,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,-0.4,548,1347.137426092448,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,-0.4,123,227.99372890814902,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,-0.4,461,1282.7446448384599,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,-0.4,670,2060.3415353380865,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,-0.4,370,887.1929225002627,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,-0.4,301,819.8400785254653,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,-0.4,222,411.93170901488065,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,-0.4,729,2665.74184780031,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,-0.4,466,1672.696039655305,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,-0.4,488,1759.6586327320335,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,-0.4,319,724.6199853175151,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,-0.4,306,801.038901661072,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,-0.4,734,2777.106939263503,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,-0.4,478,1689.4084637225242,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,-0.4,495,1762.0245937902773,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,-0.4,309,777.9280808582124,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,-0.4,889,2947.1918409901255,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,-0.4,303,777.629183455987,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,-0.4,138,298.36646022927107,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,-0.4,320,852.7845740332905,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,-0.4,400,895.7938603287339,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,-0.4,274,470.3054655559754,Models/Walker_models/Adversarial_models/Walker_feet_model_01
