algorithm,perturbation,steps,reward,model
RARL,-0.5,176,303.51893016525287,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.5,196,406.723260162124,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.5,193,410.3348107395566,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.5,299,753.2810573522684,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.5,196,339.3950527866655,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.5,198,402.8964227826941,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.5,203,431.5313588082977,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.5,194,376.2082204872527,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.5,201,359.5410735438418,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.5,175,362.30890994280253,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.5,308,434.24465348069225,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.5,190,398.24954145844185,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.5,179,341.9693332268271,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.5,233,339.9537143968282,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.5,240,339.93149409303805,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.5,203,368.8009546498324,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.5,251,400.88004173993886,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.5,168,359.42544564293166,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.5,233,465.17798293007763,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.5,240,436.61084196061347,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.5,214,337.13824683128496,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.5,444,907.3105382351732,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.5,444,868.2317904102292,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.5,212,418.7315348050488,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.5,196,420.68983782719624,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.5,183,376.39647108123427,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.5,224,463.3076322452107,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.5,444,810.5771229952225,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.5,175,374.6108557041425,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.5,255,468.1571284355068,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.5,188,367.8490072570694,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.5,263,409.83390436678565,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.5,178,374.3535505581076,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.5,224,418.44729542903406,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.5,194,384.7958719095477,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.5,213,342.2117557721722,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.5,189,370.44679598440234,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.5,212,359.34208216797924,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.5,161,355.3650902917252,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.5,217,397.1317460006867,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.5,242,403.09661284664617,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.5,213,366.03709483391503,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.5,217,343.20968342727065,Models/Walker_models/Adversarial_models/Walker_feet_model
