algorithm,perturbation,steps,reward,model
RARL,-0.8,171,347.4752052186702,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.8,258,587.9212339800476,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.8,206,313.617619970428,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.8,179,349.45365117747906,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.8,237,591.3460366876959,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.8,454,791.6028116910229,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.8,169,372.13505407200546,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.8,965,2259.3140162241834,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.8,476,1067.4824460691693,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.8,196,289.86860622076233,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.8,938,2004.9999631487178,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.8,165,285.79595164768216,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.8,505,1094.8500624956778,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.8,225,318.85431889104734,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.8,235,385.795940879715,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.8,324,944.8560758846724,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.8,530,1169.8519366449873,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.8,272,783.8646499955744,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.8,211,508.385287380253,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.8,648,1414.9098477741127,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.8,169,335.738466047188,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.8,266,366.2707069155167,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.8,666,1282.3007797999273,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.8,796,1298.8259923957082,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.8,304,390.7468001478578,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.8,1000,2042.4939134085103,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.8,191,362.67463989206135,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.8,451,956.1475891278676,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.8,261,295.5810206078554,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.8,450,1156.7554907607166,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.8,152,336.8596834730497,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.8,274,606.6515826472973,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.8,273,358.1941709937355,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.8,475,1036.2225701330435,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,-0.8,265,333.2867528414681,Models/Walker_models/Adversarial_models/Walker_feet_model
