algorithm,perturbation,steps,reward,model
RARL,0.1,675,1792.1718924056527,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,0.1,210,540.6811789058011,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,0.1,228,588.2072551309484,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,0.1,252,671.8355037447859,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,0.1,640,1832.9094431296944,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,0.1,287,572.7011484432014,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,0.1,350,970.4437700496737,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,0.1,279,796.1073279124248,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,0.1,608,1716.2696768446112,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,0.1,496,1337.2979849451913,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,0.1,425,1131.6550142905653,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,0.1,359,976.5112866689051,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,0.1,418,1164.6089378991874,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,0.1,272,794.5442057349446,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,0.1,279,806.1530225444385,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,0.1,361,1056.4214358729187,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,0.1,311,850.3449918810948,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,0.1,212,488.19919046405994,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,0.1,276,720.6173381566805,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,0.1,469,1463.1227733474552,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,0.1,343,973.6537958139925,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,0.1,281,619.4536773079672,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,0.1,263,631.5246020172381,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,0.1,330,882.9159904890657,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,0.1,449,1395.116975051038,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,0.1,203,492.5976347054202,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,0.1,278,752.0031398680367,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,0.1,332,866.9660240662815,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,0.1,563,1671.047527633598,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,0.1,260,644.338211559286,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,0.1,591,1793.194865891116,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,0.1,414,1300.668104572851,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,0.1,1000,2452.7735480115616,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,0.1,243,554.6968906446809,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,0.1,418,1272.6567521263896,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,0.1,221,547.0646982030976,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,0.1,308,845.8978065145475,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,0.1,359,993.9305891885397,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,0.1,260,631.5726869724858,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,0.1,187,465.371894707896,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,0.1,461,1352.9793173736798,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,0.1,209,559.4438336800758,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,0.1,561,1643.709488779985,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,0.1,217,567.2273216879221,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,0.1,229,595.7335909450703,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,0.1,227,568.6187131175138,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,0.1,189,503.18521231749037,Models/Walker_models/Adversarial_models/Walker_feet_model
