algorithm,perturbation,steps,reward,model
RARL,0.5,153,394.50120451613816,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,211,454.4013135785018,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,232,682.857111731602,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,193,589.9575967565597,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,165,487.08239205243444,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,159,442.8821753024167,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,187,540.9873431505343,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,135,350.54360808344063,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,196,563.0701372547028,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,168,421.7856492654719,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,152,373.5071521855007,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,204,618.823515033012,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,190,556.392536658921,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,205,545.5069173209858,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,208,626.7320983934887,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,203,629.695466138397,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,211,651.4271320881271,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,122,302.5907378184256,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,172,452.3186660818574,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,198,600.3491925339058,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,165,439.9896516718709,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,150,382.9214211305971,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,171,505.0931470401829,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,146,403.70224128832524,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,230,569.1785282205528,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,143,371.41125532821025,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,221,638.8342970702306,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,205,594.1229356320473,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,159,467.5423836609043,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,212,636.707081300965,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,166,446.6143098616885,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,188,527.5353037444893,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,228,681.2083712963413,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,197,579.6599692000309,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,184,526.1055708407875,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,148,385.70823668239973,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,210,563.4083526463546,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,209,621.7123889268732,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,218,630.5293087266036,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,207,611.6649886204614,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,187,534.9289009406639,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,193,532.9665635122983,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,232,680.7401917730604,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,169,483.49807821095965,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,140,387.2473234972276,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,176,521.5395135440849,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,206,586.9466974006646,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,152,422.686286428725,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,149,424.08638798341053,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,186,563.0343756064649,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,242,575.6168513043885,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,83,168.83387909597513,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,169,418.57819006566933,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,161,462.4128853415459,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,177,522.9326871609624,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,124,316.73022185902073,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,167,453.83175450398653,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,194,570.2409645367884,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,189,521.7848516034298,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,217,659.0576576605854,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,192,486.2445753472066,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,146,392.11102790267523,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,203,562.2113055859099,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,167,481.5980458041495,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,95,197.90264572192973,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,271,810.1171594091957,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,147,372.03499258702595,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,147,368.7925824689519,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,160,423.21960329611284,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,212,578.0780643293401,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,76,138.85316869399958,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,184,500.38911517886663,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,192,532.6363087633672,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,225,660.0510716489807,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,156,410.7959598973466,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,162,431.2250521496717,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,155,383.3487840936814,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,176,498.9244309550213,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,158,222.0880359389521,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,196,612.6103000990897,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,226,667.3044637774547,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,186,535.6157005474615,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,80,157.3691763477109,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,181,495.9156303789714,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,82,161.32439707148114,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,168,415.9977990974294,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,195,547.4062043076574,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,152,381.317897229299,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,195,563.1151716230597,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,183,536.4007396499146,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,204,552.4303483908989,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,183,509.13467413474064,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,201,594.3644226619253,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,223,680.771388057703,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,169,462.4610368367066,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,144,378.79611517466765,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,191,549.4446061969829,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,197,533.6377845319803,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,216,657.3332430108603,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,216,652.9635549516388,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,252,752.5054903399214,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,214,601.4205213915047,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,182,526.1886259582643,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,136,364.32450163615067,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,213,635.4959835135996,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,187,537.2011118766204,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,198,522.2429953067403,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,167,430.75021177689996,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,172,511.3904662008026,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,202,549.0165258794216,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,199,574.0421428344157,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,255,715.6539541562815,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,218,629.5396496546703,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,195,566.2425724286722,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,167,452.7733650277323,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,231,706.0698813198405,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,169,447.7966818116938,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,231,673.826140409742,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,185,525.223787189002,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,225,632.435576961454,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,230,691.1562450375104,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,80,147.66818260690798,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,128,310.7198308990901,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,227,674.829698329213,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,191,549.6196564983547,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,186,519.1276473834932,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,211,648.1332299723508,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,185,503.18227387850675,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,161,460.2948948617759,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,196,572.7815470487712,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,182,497.4870204842682,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,189,518.3373525122734,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,148,367.1897432585447,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,225,649.7499090290148,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,283,643.2294570472059,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,221,659.5195636546541,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,191,554.1082276896377,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,158,388.2713291255641,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,206,605.3463178239508,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,159,416.57998981436685,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,178,511.7265513789898,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,198,586.5439796052269,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,206,594.2763484849202,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,202,515.6520069631588,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,138,355.091491324034,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,211,592.0351707094014,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,144,365.04011473406354,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,157,402.4063137726116,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,188,540.8997621573944,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,194,568.5987811535888,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,180,553.8946498700716,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,159,392.4431295974973,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,172,418.63195497358174,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,194,548.2711847579303,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,232,542.1572630130358,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,191,550.844335744041,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,192,477.39816340060133,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,169,464.4393209732443,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,183,500.7116209506348,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,202,525.1926242420559,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,222,668.6300952592464,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,195,569.857903546607,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,164,453.1322314179621,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,214,664.9158753968779,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,145,360.9778769182053,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,180,514.1266191926939,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,176,520.2301181794651,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,170,495.89095586923486,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,223,465.35241155986705,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,196,564.9810003549924,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,152,273.0295011430526,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,187,533.2574845988529,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,211,612.4350738502117,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,174,460.1619104407564,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,213,645.6783106867606,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,245,741.5572884853309,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,179,507.8860995057039,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,206,629.3987947815476,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,182,532.508847876692,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,235,625.1099167600623,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,197,573.0585926896056,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,196,564.6989276847853,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,196,562.6693035155931,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,153,374.9246976440663,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,167,439.9892082771312,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,81,156.22908663732596,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,178,491.0444206089087,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,210,621.5649147559488,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,215,607.9762634615254,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,185,534.86533292069,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,192,554.4949433248858,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,149,380.1943819186308,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,162,388.351106878481,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,260,785.1132384083576,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,190,555.617386188198,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,180,501.0101257306342,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,138,346.95999658242,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,213,638.1707458887249,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,147,385.53268394214683,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,91,188.67733225186748,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,159,444.5842565491512,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,223,675.2604739422932,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,341,861.1015912476978,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,231,670.2537917825248,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,170,491.7591280912311,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,238,724.2028878654965,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,220,660.3311892524616,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,186,539.902184610055,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,199,579.7982397487067,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,222,653.7669334268394,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,229,673.3627075156401,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,214,647.001063981148,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,165,464.2791627324611,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,148,389.08724253899805,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,146,389.6590543780171,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,75,140.8190258783677,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,203,546.7977163041546,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,222,679.8065765988595,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,218,569.7842488937822,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,185,500.6988250408922,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,216,618.3038297063654,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,159,433.9036708365611,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,221,657.8116108041158,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,164,447.38130570166777,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,156,395.13573823053594,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,164,415.67458042599355,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,214,588.5446374815756,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,184,429.5026097337186,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,208,622.4864877345572,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,147,384.0102952809575,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,133,352.3960790363926,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,164,478.1942961591958,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,212,632.4420549610095,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,226,644.4029006100554,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,213,619.8584349549783,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,202,602.9189340649064,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,219,663.7499252689904,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,159,283.1353423069977,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,164,410.2954769203625,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,202,587.798793957998,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,190,558.5123650373571,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,203,582.3620347667875,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,180,488.9774805469842,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,156,431.17039182190274,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,241,696.8891518364453,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0.5,134,326.8188445952037,Models/Walker_models/Adversarial_models/Walker_feet_model_05
