algorithm,perturbation,steps,reward,model
RARL,0.5,195,533.0987384265151,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,183,484.8135563615318,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,165,410.7527657577218,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,159,424.3610710718042,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,179,489.35547447376666,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,166,416.0411728106569,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,174,450.8857809174333,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,191,570.0386638898913,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,214,608.3281415164338,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,164,402.67847823239845,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,165,432.6244758483608,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,149,392.27419287260636,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,178,442.48658702984267,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,191,545.8519440289228,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,163,435.0333865555358,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,184,536.7249564501453,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,180,483.43573389869107,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,170,448.61155082843106,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,165,445.1863726808406,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,165,416.6765639033165,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,174,432.06770692647115,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,169,444.78799389083906,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,175,449.44530156348264,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,193,570.7097345226448,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,170,438.5803709223128,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,165,421.79698504959197,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,172,437.3201042749224,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,180,432.8224129502196,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,193,578.1362566655662,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,167,436.07637521072866,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,188,500.74574002759437,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,228,669.8208128491224,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,180,491.7373587875245,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,172,504.6100357240848,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,167,446.0416973598276,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,160,414.80930673903276,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,185,529.5758166850355,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,184,463.08553742469667,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,158,419.70160651342667,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,199,598.758450514415,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,183,534.762837682727,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,186,528.2293300154524,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,188,455.3313112286669,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,166,416.5962824002636,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,163,422.3767371769136,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,171,441.7519004841597,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,182,469.654201444715,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,178,469.5348790289172,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,204,610.2402980371116,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,221,647.7652350140197,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,204,563.6847613556602,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,170,428.0638225339462,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,191,484.5277692815762,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,178,486.9693423445133,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,151,388.42656128515955,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,195,565.5420635160555,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,166,428.53255478718825,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,207,605.942058013343,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,158,415.3208357967735,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,225,647.0327244855778,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,199,587.2881688932334,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,168,448.5821004603431,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,188,520.9322210997889,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,210,589.0102689661517,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,232,662.5040538540779,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,202,590.7428150195556,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,165,414.8848580672966,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,179,467.1012102193854,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,152,401.2294985785411,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,177,439.4466528668054,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,171,441.46024718764056,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,203,602.3210828204737,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,154,407.41393235757823,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,194,567.0050825891467,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,180,474.0012679495194,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,171,445.3994347905227,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,211,625.4183819461268,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,160,409.2856791356626,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,171,440.2908129114494,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,228,663.6808250625927,Models/Walker_models/Adversarial_models/Walker_feet_model_01
RARL,0.5,202,595.078932319886,Models/Walker_models/Adversarial_models/Walker_feet_model_01
