algorithm,perturbation,steps,reward,model
RARL,0,455,1605.7416590575453,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0,1000,3474.6467271051583,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0,735,2556.63611322809,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0,544,1931.8163430083196,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0,562,2099.1175928623506,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0,1000,3409.093808211883,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0,619,2197.9869858607817,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0,613,1977.2474616039253,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0,1000,3313.778159789752,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0,505,1755.8591642814972,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0,690,2349.5392171001986,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0,366,1243.552545940056,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0,1000,3417.9804867434686,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0,1000,3365.453012013765,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0,693,2475.534076474375,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0,899,3258.433117424878,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0,545,1755.4959511710586,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0,531,1751.5315291198385,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0,1000,3494.4746602296946,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0,1000,3214.3996282180997,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0,781,2703.1326646250272,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0,635,2336.1240429296413,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0,468,1619.6354162121752,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0,642,2139.332822299464,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0,1000,3394.1405950513217,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0,1000,3172.5721974104345,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0,1000,3460.2088016534544,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0,910,3174.240604209388,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0,328,1136.5874139851385,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0,391,1310.1567219932167,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0,129,196.98480996564467,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0,1000,3253.721139907455,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0,1000,3524.1695561497127,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,0,873,3078.2864133454023,Models/Walker_models/Adversarial_models/Walker_feet_model_05
