algorithm,perturbation,steps,reward,model
RARL,1.0,228,614.3897907646342,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,129,246.9124789432716,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,165,401.93493943286614,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,149,376.4837698809945,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,125,296.2180731866131,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,147,394.1999476439828,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,147,399.38781885426215,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,148,351.4303748961697,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,128,310.3645418978863,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,107,214.99788589129366,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,163,398.67509314178506,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,166,363.82650647135597,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,131,320.90058577949094,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,121,298.6855661350146,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,162,378.4705199831551,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,168,455.09655522303,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,232,564.5805779925959,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,134,233.65655824853548,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,177,428.4659666641219,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,153,397.07795214113605,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,180,405.5982466916922,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,160,363.82192073392594,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,159,361.53315146731165,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,174,454.7904285309903,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,151,369.58036722630663,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,228,629.8815250449125,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,158,381.4912261544596,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,149,380.0715893918614,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,153,398.03143713659756,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,127,322.768540607638,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,157,367.55476472274495,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,170,397.19597186204464,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,148,372.0027922391264,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,100,204.00716476151592,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,137,334.34764423537945,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,165,388.4123666651458,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,226,535.6287562381003,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,105,221.178739050456,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,58,47.37893457009535,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,163,432.3379286316031,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,138,345.9907343384884,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,216,532.333783774856,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,160,383.33191322911466,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,163,401.92760166587414,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,192,515.9579181487388,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,202,445.2706376029191,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,128,290.81633386512567,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,153,388.37138683637977,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,200,535.211106423686,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,190,519.7151400068351,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,144,381.1931686137168,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,166,384.9798957784287,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,140,342.4274395746015,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,153,363.3210560137122,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,203,450.7583675146516,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,133,338.64704084298774,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,159,365.77847886025825,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,72,69.63928986399264,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,195,469.42095975413383,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,150,364.04137339966076,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,136,335.5532521131297,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,153,423.0828007761984,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,146,355.9102477387735,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,156,381.1211932766573,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,216,578.8853879907247,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,149,363.75758292453156,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,128,306.5605386081929,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,154,387.0161622784635,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,1.0,152,357.4605743955799,Models/Walker_models/Adversarial_models/Walker_feet_model_05
