algorithm,perturbation,steps,reward,model
RARL,1,206,465.1053589312917,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,200,461.3801625495099,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,216,494.00054284893565,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,204,474.88344334290446,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,186,444.8028885792214,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,204,454.84742069171625,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,211,488.30836540271,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,209,456.2891054217689,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,182,407.6362305069397,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,170,343.5057327891727,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,205,453.159025860592,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,205,464.85062302430015,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,217,488.47973954314875,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,203,451.0987879135928,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,210,476.8890710332744,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,220,510.5889649821429,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,218,490.08731182455995,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,199,463.45472147199234,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,194,444.1555592532477,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,180,379.15481307678783,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,202,455.55746061838727,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,193,437.31305035011064,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,180,369.08609206601795,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,204,457.28731839939064,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,214,462.21061720674516,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,210,485.40711143031876,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,197,430.7046150830338,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,189,430.27646275275765,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,215,443.7449515615899,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,217,501.3397248737765,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,199,470.47270575110997,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,199,463.6932594454938,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,184,424.7431488316852,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,229,482.7330944213372,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,220,469.89103845529644,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,206,479.7706496963492,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,192,437.68266087326265,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,205,467.22967569171306,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,201,436.85276010890084,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,197,408.2426121161625,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,173,359.347319915385,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,194,433.1117828598326,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,274,580.6170407045574,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,213,493.5608165854319,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,205,482.6456629670647,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,160,352.19164014006674,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,205,461.3947285128779,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,193,421.65011080045224,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,236,567.7893545599145,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,148,266.0832474508666,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,193,434.4792323108342,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,195,449.7875881296502,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,175,360.527476183923,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,189,415.14305493128177,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,208,427.8965715964316,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,211,494.42862587056743,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,220,519.948045213237,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,206,442.93597622093785,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,222,501.3772995383051,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,220,462.6544295987014,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,255,656.6024995617881,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,196,435.4896251283981,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,191,448.9484552856229,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,199,450.7294923575837,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,216,475.26631285479743,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,207,461.6959796832216,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,217,515.1072703028931,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,199,442.8831148580357,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,194,445.703886114381,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,194,439.58315006898374,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,226,485.5477452089581,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,186,436.16210699524345,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,202,456.662364682581,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,230,578.390034024862,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,208,466.9435486127477,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,194,424.92570802407863,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,201,426.14085538151267,Models/Walker_models/Adversarial_models/Walker_feet_model
RARL,1,214,471.14627362252213,Models/Walker_models/Adversarial_models/Walker_feet_model
