algorithm,perturbation,steps,reward,model
RARL,2,52,40.28485108508732,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,2,48,33.91491611328879,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,2,73,73.7866377830871,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,2,65,60.97627219673589,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,2,50,38.2104393174846,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,2,95,127.60444722951252,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,2,40,20.981228836491084,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,2,57,45.67754859384769,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,2,64,58.71527733270028,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,2,47,32.69888537684085,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,2,51,37.05490262780859,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,2,108,221.01490426016653,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,2,45,26.029924396333172,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,2,57,47.860350523645025,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,2,75,77.91065144029017,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,2,45,27.65299583376361,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,2,65,61.060524038761855,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,2,52,38.315657752337074,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,2,79,89.99084591391079,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,2,88,103.96708991321566,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,2,54,45.215513474142654,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,2,55,46.41568006012449,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,2,60,53.50352849529759,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,2,50,36.33023858372076,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,2,96,122.5328483255098,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,2,68,61.35998619797624,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,2,72,72.69665779240563,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,2,167,299.3480683119499,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,2,77,75.75676258965223,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,2,54,42.849699821184004,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,2,46,30.21042656509644,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,2,72,71.16758160170775,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,2,70,65.8050530441028,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,2,143,335.98052189069904,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,2,93,120.88794779095042,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,2,140,280.32327150737365,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,2,47,32.3985510620023,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL,2,117,178.0185261419797,Models/Walker_models/Adversarial_models/Walker_feet_model_05
