algorithm,Mass,Friction,steps,reward,model
PPO,4.057890510886818,0.7,180,545.8773329891108,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,0.7,194,632.9852852454806,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,0.7,293,968.5642217005568,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,0.7,221,694.1179584421543,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,0.7,331,1000.6035152052059,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,0.7,312,1051.616235830711,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,0.7,196,641.8552960284014,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,0.7,273,971.57833976035,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,0.7,133,373.9703327166835,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,0.7,141,368.21566397876813,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,0.7,136,380.866685353546,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,0.7,206,674.1647902439145,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,0.7,273,861.8994647964082,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,0.7,240,773.7669903991582,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,0.7,372,1281.4620841261012,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,0.7,329,1091.6950716338347,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,0.7,350,1226.0092610129,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,0.7,166,480.53028181984064,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,0.7,274,932.0645768061913,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,0.7,315,1115.381434606038,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,0.7,276,954.2150662096246,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,0.7,430,1483.483851407228,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,0.7,431,1508.7811351457624,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,0.7,131,355.38576818399133,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,0.7,300,881.5620441675403,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,0.7,390,1425.3896016818335,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,0.7,369,1244.0601123089546,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,0.7,273,955.3725948738529,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,0.7,264,817.8866307698718,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,0.7,251,779.7295730939859,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,0.7,360,1271.0142020756894,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,0.7,203,671.8107483026706,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,0.7,217,690.8648841852857,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,0.7,322,952.4791075764122,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,0.7,172,502.00499945380807,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,0.7,243,723.0447422391007,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,0.7,248,739.6941180301442,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,0.7,244,721.1393269257806,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,0.7,293,836.5563643733976,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,0.7,430,1434.1367839177992,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,0.7,313,1138.8720650979449,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,0.7,291,1003.2373816823228,Models/Walker_models/Ideal_models/Walker_model_colab
