algorithm,Mass,Friction,steps,reward,model
PPO,4.057890510886818,1.4,403,1416.5562246740476,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,1.4,290,920.6546743122033,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,1.4,298,1065.7857317015,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,1.4,242,729.4803181924513,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,1.4,299,1030.7691357928434,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,1.4,227,748.465504648736,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,1.4,137,370.66447104306553,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,1.4,136,367.00309492916494,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,1.4,405,1462.6634638090927,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,1.4,248,833.2713115962824,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,1.4,314,1125.6317635976516,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,1.4,290,966.5012231025685,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,1.4,247,834.5942654303899,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,1.4,123,317.2265609232436,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,1.4,151,422.41709243994865,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,1.4,217,742.2790976495694,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,1.4,207,706.360594106367,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,1.4,328,1016.6722727776241,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,1.4,267,797.4079877225295,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,1.4,302,1043.0361668349706,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,1.4,279,1016.068482149316,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,1.4,134,358.8168630467171,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,1.4,324,1132.1617607314884,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,1.4,290,979.1006060069044,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,1.4,257,886.3188257234201,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,1.4,135,368.24933929339886,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,1.4,350,1169.0289638036115,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,1.4,378,1381.5849305283236,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,1.4,501,1725.2772551493845,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,1.4,259,844.794170559675,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,1.4,200,590.4151363211477,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,1.4,140,386.13489406052213,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,1.4,288,838.7768751792964,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,1.4,130,349.2507008379787,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,1.4,295,973.8404694021112,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,1.4,294,902.9751958219795,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,1.4,358,1237.1652670577596,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,1.4,250,852.9540187764196,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,1.4,274,942.3082549562159,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,1.4,141,382.2521514184655,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,1.4,308,1079.9323557937987,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,1.4,237,763.4460198620154,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,4.057890510886818,1.4,281,857.8186269788748,Models/Walker_models/Ideal_models/Walker_model_colab
