algorithm,Mass,Friction,steps,reward,model
PPO,6.89841386850759,0.7,150,392.2951499328336,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,6.89841386850759,0.7,182,465.82151333317563,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,6.89841386850759,0.7,153,394.9340950046492,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,6.89841386850759,0.7,154,395.4990975945884,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,6.89841386850759,0.7,161,407.0930107012871,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,6.89841386850759,0.7,146,379.308050039534,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,6.89841386850759,0.7,146,378.88874785561393,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,6.89841386850759,0.7,182,498.9483654067981,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,6.89841386850759,0.7,160,403.21350665541286,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,6.89841386850759,0.7,159,416.3504210543538,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,6.89841386850759,0.7,141,358.025271053325,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,6.89841386850759,0.7,164,419.74306039382554,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,6.89841386850759,0.7,162,413.6667882211341,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,6.89841386850759,0.7,159,406.09920131180843,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,6.89841386850759,0.7,159,399.08093345423185,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,6.89841386850759,0.7,157,415.5482704765882,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,6.89841386850759,0.7,190,487.31413605548823,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,6.89841386850759,0.7,164,413.84888534944366,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,6.89841386850759,0.7,155,401.21071855544824,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,6.89841386850759,0.7,156,396.56254960879255,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,6.89841386850759,0.7,153,393.132242620105,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,6.89841386850759,0.7,157,405.603245042244,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,6.89841386850759,0.7,168,445.09028865220876,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,6.89841386850759,0.7,162,413.10959171900186,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,6.89841386850759,0.7,163,413.84367552549656,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,6.89841386850759,0.7,215,636.6698330512754,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,6.89841386850759,0.7,163,436.0416289356931,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,6.89841386850759,0.7,143,373.7909348498056,Models/Walker_models/Ideal_models/Walker_model_colab
