algorithm,Mass,Friction,steps,reward,model
PPO,3.652101459798136,1.75,392,806.4288122083665,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,3.652101459798136,1.75,456,1604.8032659617782,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,3.652101459798136,1.75,415,1477.76869112738,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,3.652101459798136,1.75,312,1123.5117038702824,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,3.652101459798136,1.75,378,1241.4709640085393,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,3.652101459798136,1.75,364,1283.8733582197137,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,3.652101459798136,1.75,269,909.9156457418258,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,3.652101459798136,1.75,289,865.0069439064664,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,3.652101459798136,1.75,259,756.8018962961114,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,3.652101459798136,1.75,374,1319.2344172574362,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,3.652101459798136,1.75,320,1118.6047410907822,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,3.652101459798136,1.75,360,1325.6241331262295,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,3.652101459798136,1.75,303,1006.4323061726918,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,3.652101459798136,1.75,474,1615.686083567015,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,3.652101459798136,1.75,346,1267.804725665589,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,3.652101459798136,1.75,287,1052.808468331621,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,3.652101459798136,1.75,391,1451.71614540248,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,3.652101459798136,1.75,345,1232.9163906856875,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,3.652101459798136,1.75,389,1326.72409985072,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,3.652101459798136,1.75,430,1450.8561811403156,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,3.652101459798136,1.75,364,1320.8175327552399,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,3.652101459798136,1.75,376,1306.5884323825776,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,3.652101459798136,1.75,277,821.5797981260557,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,3.652101459798136,1.75,321,979.5784175744884,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,3.652101459798136,1.75,191,577.7233010614746,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,3.652101459798136,1.75,360,1284.1550671643645,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,3.652101459798136,1.75,170,513.9011603811664,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,3.652101459798136,1.75,280,964.7253530607022,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,3.652101459798136,1.75,485,1602.6000984473462,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,3.652101459798136,1.75,307,963.9848772971673,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,3.652101459798136,1.75,323,1062.8473125648916,Models/Walker_models/Ideal_models/Walker_model_colab
PPO,3.652101459798136,1.75,653,1541.3431888517425,Models/Walker_models/Ideal_models/Walker_model_colab
