algorithm,Mass,Friction,steps,reward,model
RARL_PPO,2.8405233576207722,0.7,115,160.61205522191423,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL_PPO,2.8405233576207722,0.7,348,1066.8482096947946,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL_PPO,2.8405233576207722,0.7,439,1357.5195179162154,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL_PPO,2.8405233576207722,0.7,128,204.17314461554952,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL_PPO,2.8405233576207722,0.7,574,1744.4932733472497,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL_PPO,2.8405233576207722,0.7,1000,3190.539946404003,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL_PPO,2.8405233576207722,0.7,271,411.55925621038193,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL_PPO,2.8405233576207722,0.7,846,2667.8456952728216,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL_PPO,2.8405233576207722,0.7,185,461.34710886369703,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL_PPO,2.8405233576207722,0.7,1000,2909.4019744515313,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL_PPO,2.8405233576207722,0.7,267,723.038521017238,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL_PPO,2.8405233576207722,0.7,1000,3057.2226914338435,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL_PPO,2.8405233576207722,0.7,67,126.0932374426593,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL_PPO,2.8405233576207722,0.7,67,120.56083820851518,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL_PPO,2.8405233576207722,0.7,612,1959.51111673258,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL_PPO,2.8405233576207722,0.7,1000,3225.095540996269,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL_PPO,2.8405233576207722,0.7,356,1143.3074975280656,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL_PPO,2.8405233576207722,0.7,121,173.77374953990125,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL_PPO,2.8405233576207722,0.7,131,212.44768072488887,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL_PPO,2.8405233576207722,0.7,63,111.75656156098853,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL_PPO,2.8405233576207722,0.7,901,2876.6399357712407,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL_PPO,2.8405233576207722,0.7,1000,3141.794444880852,Models/Walker_models/Adversarial_models/Walker_feet_model_05
RARL_PPO,2.8405233576207722,0.7,188,403.7688052492849,Models/Walker_models/Adversarial_models/Walker_feet_model_05
